x t U
4.693877551020407823e-01 1.581632653061224303e-01 2.089969887213636301e-01
4.897959183673469274e-01 1.581632653061224303e-01 2.098593457878945856e-01
5.102040816326530726e-01 1.581632653061224303e-01 2.098593457878946134e-01
5.306122448979591066e-01 1.581632653061224303e-01 2.089969887213636579e-01
5.510204081632652517e-01 1.581632653061224303e-01 2.072758181984631631e-01
5.714285714285713969e-01 1.581632653061224303e-01 2.047029068780615857e-01
5.918367346938775420e-01 1.581632653061224303e-01 2.012888274046621961e-01
6.122448979591835760e-01 1.581632653061224303e-01 1.970476089631390260e-01
6.326530612244897211e-01 1.581632653061224303e-01 1.919966796298067935e-01
6.530612244897958663e-01 1.581632653061224303e-01 1.861567947567169257e-01
6.734693877551020114e-01 1.581632653061224303e-01 1.795519516834645779e-01
6.938775510204081565e-01 1.581632653061224303e-01 1.722092911269718918e-01
7.142857142857141906e-01 1.581632653061224303e-01 1.641589856544613812e-01
7.346938775510203357e-01 1.581632653061224303e-01 1.554341156979047178e-01
7.551020408163264808e-01 1.581632653061224303e-01 1.460705336194321191e-01
7.755102040816326259e-01 1.581632653061224303e-01 1.361067163862861307e-01
7.959183673469386600e-01 1.581632653061224303e-01 1.255836074607097064e-01
8.163265306122448051e-01 1.581632653061224303e-01 1.145444485544779567e-01
8.367346938775509502e-01 1.581632653061224303e-01 1.030346019394286911e-01
8.571428571428570953e-01 1.581632653061224303e-01 9.110136404415745959e-02
8.775510204081632404e-01 1.581632653061224303e-01 7.879377110284749297e-02
8.979591836734692745e-01 1.581632653061224303e-01 6.616239765486502111e-02
9.183673469387754196e-01 1.581632653061224303e-01 5.325914872312892401e-02
9.387755102040815647e-01 1.581632653061224303e-01 4.013704652523793215e-02
9.591836734693877098e-01 1.581632653061224303e-01 2.685001259380527180e-02
9.795918367346938549e-01 1.581632653061224303e-01 1.345264620131500673e-02
1.000000000000000000e+00 1.581632653061224303e-01 1.224646799147353207e-16
0.000000000000000000e+00 1.632653061224489666e-01 0.000000000000000000e+00
2.040816326530612082e-02 1.632653061224489666e-01 1.279209394259121085e-02
4.081632653061224164e-02 1.632653061224489666e-01 2.553162242727678027e-02
6.122448979591836593e-02 1.632653061224489666e-01 3.816623599889282237e-02
8.163265306122448328e-02 1.632653061224489666e-01 5.064401632015747001e-02
1.020408163265306006e-01 1.632653061224489666e-01 6.291368951525512510e-02
1.224489795918367319e-01 1.632653061224489666e-01 7.492483686519059438e-02
1.428571428571428492e-01 1.632653061224489666e-01 8.662810198911985449e-02
1.632653061224489666e-01 1.632653061224489666e-01 9.797539366030619257e-02
1.836734693877550839e-01 1.632653061224489666e-01 1.089200834232863097e-01
2.040816326530612013e-01 1.632653061224489666e-01 1.194171972001955295e-01
2.244897959183673186e-01 1.632653061224489666e-01 1.294236000989007485e-01
2.448979591836734637e-01 1.632653061224489666e-01 1.388981736635243047e-01
2.653061224489795533e-01 1.632653061224489666e-01 1.478019848389996449e-01
2.857142857142856984e-01 1.632653061224489666e-01 1.560984459553452497e-01
3.061224489795917880e-01 1.632653061224489666e-01 1.637534650742487330e-01
3.265306122448979331e-01 1.632653061224489666e-01 1.707355860801540448e-01
3.469387755102040782e-01 1.632653061224489666e-01 1.770161179401875118e-01
3.673469387755101678e-01 1.632653061224489666e-01 1.825692526017665684e-01
3.877551020408163129e-01 1.632653061224489666e-01 1.873721710434230470e-01
4.081632653061224025e-01 1.632653061224489666e-01 1.914051370430575050e-01
4.285714285714285476e-01 1.632653061224489666e-01 1.946515782783088400e-01
4.489795918367346372e-01 1.632653061224489666e-01 1.970981544257821017e-01
4.693877551020407823e-01 1.632653061224489666e-01 1.987348119792982648e-01
4.897959183673469274e-01 1.632653061224489666e-01 1.995548255619080114e-01
5.102040816326530726e-01 1.632653061224489666e-01 1.995548255619080391e-01
5.306122448979591066e-01 1.632653061224489666e-01 1.987348119792983203e-01
5.510204081632652517e-01 1.632653061224489666e-01 1.970981544257821572e-01
5.714285714285713969e-01 1.632653061224489666e-01 1.946515782783089510e-01
5.918367346938775420e-01 1.632653061224489666e-01 1.914051370430575882e-01
6.122448979591835760e-01 1.632653061224489666e-01 1.873721710434231302e-01
6.326530612244897211e-01 1.632653061224489666e-01 1.825692526017665129e-01
6.530612244897958663e-01 1.632653061224489666e-01 1.770161179401874563e-01
6.734693877551020114e-01 1.632653061224489666e-01 1.707355860801538783e-01
6.938775510204081565e-01 1.632653061224489666e-01 1.637534650742487052e-01
7.142857142857141906e-01 1.632653061224489666e-01 1.560984459553453052e-01
7.346938775510203357e-01 1.632653061224489666e-01 1.478019848389997004e-01
7.551020408163264808e-01 1.632653061224489666e-01 1.388981736635243602e-01
7.755102040816326259e-01 1.632653061224489666e-01 1.294236000989007207e-01
7.959183673469386600e-01 1.632653061224489666e-01 1.194171972001955989e-01
8.163265306122448051e-01 1.632653061224489666e-01 1.089200834232863513e-01
8.367346938775509502e-01 1.632653061224489666e-01 9.797539366030622032e-02
8.571428571428570953e-01 1.632653061224489666e-01 8.662810198911989612e-02
8.775510204081632404e-01 1.632653061224489666e-01 7.492483686519063601e-02
8.979591836734692745e-01 1.632653061224489666e-01 6.291368951525519448e-02
9.183673469387754196e-01 1.632653061224489666e-01 5.064401632015749083e-02
9.387755102040815647e-01 1.632653061224489666e-01 3.816623599889282931e-02
9.591836734693877098e-01 1.632653061224489666e-01 2.553162242727677333e-02
9.795918367346938549e-01 1.632653061224489666e-01 1.279209394259122300e-02
1.000000000000000000e+00 1.632653061224489666e-01 1.224646799147353207e-16
0.000000000000000000e+00 1.683673469387755028e-01 0.000000000000000000e+00
2.040816326530612082e-02 1.683673469387755028e-01 1.216397614174101992e-02
