crank-nicholson-M20-N100 crank-nicholson-M20-N200 crank-nicholson-M20-N300 crank-nicholson-M30-N100 crank-nicholson-M30-N200 crank-nicholson-M30-N300 crank-nicholson-M100-N100 crank-nicholson-M100-N200 crank-nicholson-M100-N300 crank-nicholson-M200-N100 crank-nicholson-M200-N200 crank-nicholson-M200-N300 crank-nicholson-M400-N100 crank-nicholson-M400-N200 crank-nicholson-M400-N300 crank-nicholson-M800-N100 crank-nicholson-M800-N200 crank-nicholson-M800-N300
6.441684242820027162e-01 6.335373642304101827e-01 6.529410500157087904e-01 6.337690796743170596e-01 6.194427001381924702e-01 6.253776557975706529e-01 6.307131358152947564e-01 6.263955557817975084e-01 6.297487241754645693e-01 6.301518345555687795e-01 6.280207507690389601e-01 6.286468603737193073e-01 6.298314013674083389e-01 6.288125371875390446e-01 6.290667594657435302e-01 6.296874724670245005e-01 6.291857436619961996e-01 6.293063344670878356e-01
6.397209103643445305e-01 6.524630856579249905e-01 6.265740198323404009e-01 6.202078716412419146e-01 6.225271424085018213e-01 6.385883545483874713e-01 6.277840631513336156e-01 6.294333346975858889e-01 6.270163532026196140e-01 6.283040438025029317e-01 6.294658858948739555e-01 6.279839196798153722e-01 6.288935654230591865e-01 6.294738523755349924e-01 6.287624495670984803e-01 6.292178669289572035e-01 6.295072770517260441e-01 6.291560591136348135e-01
6.287345778066520952e-01 6.337914368870001258e-01 6.220399512579493084e-01 6.220078557919426210e-01 6.338272145696183246e-01 6.252337449124488744e-01 6.266505100468638956e-01 6.295168655709293404e-01 6.268745270158059268e-01 6.280826222338313780e-01 6.291531582901074282e-01 6.285386336257312578e-01 6.288174227711479380e-01 6.292658308090746111e-01 6.290299043911313781e-01 6.291838355448176046e-01 6.293963695536933800e-01 6.292882243103701256e-01
6.180518876762931546e-01 6.180124797027238825e-01 6.287150120744910975e-01 6.286814643241367406e-01 6.253429720949288395e-01 6.197545507846193846e-01 6.269223222550636132e-01 6.265186960392308269e-01 6.297250195702918107e-01 6.283633588927930447e-01 6.282358378576422542e-01 6.303859195591143827e-01 6.289775084681827888e-01 6.289253083016619339e-01 6.298528822514005698e-01 6.292663623125164252e-01 6.292415097646921751e-01 6.296824087111614343e-01
6.352172319772536602e-01 6.403045838676941770e-01 6.479149679112407023e-01 6.372355935937351612e-01 6.207325041431984713e-01 6.292184074698256024e-01 6.293047148605580565e-01 6.277908216788440354e-01 6.283207036839745241e-01 6.298447207989652519e-01 6.293176752998126400e-01 6.286899653698792001e-01 6.297374318242526803e-01 6.295541072771722035e-01 6.290789693681758665e-01 6.296480636979698842e-01 6.295674429035493791e-01 6.293071361295674571e-01
6.576333798232641970e-01 6.502751585555149871e-01 6.559067894825330036e-01 6.323252808269790304e-01 6.306618936456218627e-01 6.442149716245102464e-01 6.310078128027283295e-01 6.316021562721926275e-01 6.264801148627320293e-01 6.295856176922939307e-01 6.292890991887994945e-01 6.280840735980355305e-01 6.294791542454796218e-01 6.292829549115830368e-01 6.288773901823094814e-01 6.295035232074812637e-01 6.294012167998074281e-01 6.292223777755947545e-01
6.470147915393914539e-01 6.543313102747067012e-01 6.258566786403393367e-01 6.207624762261926277e-01 6.373871483008299865e-01 6.275885353622437934e-01 6.267447051512070599e-01 6.276879519162436027e-01 6.279980634593306243e-01 6.280368152852631169e-01 6.283433521983128323e-01 6.292216637968367499e-01 6.287876427286561709e-01 6.289072234436344777e-01 6.295590735090664802e-01 6.291681647929633359e-01 6.292237630569791351e-01 6.295787576723594903e-01
6.378543700204734046e-01 6.251987289145647386e-01 6.282746845004609781e-01 6.261381282077890242e-01 6.330863260017035588e-01 6.209157783229505290e-01 6.272043231542502317e-01 6.266466262194453352e-01 6.324465033511469381e-01 6.286182008841642022e-01 6.285060832038622536e-01 6.296037760560229124e-01 6.291228835930725571e-01 6.291328919227201499e-01 6.294469920086652737e-01 6.293413744555342859e-01 6.293558515805538489e-01 6.294870657243127887e-01
6.243907409714940515e-01 6.302967388558781137e-01 6.383174708058740876e-01 6.384537881911148682e-01 6.224528571249402509e-01 6.332821171973194163e-01 6.292358354228940742e-01 6.308580275026158812e-01 6.286706203436984719e-01 6.296950260337661476e-01 6.301821546027965848e-01 6.282351117950701891e-01 6.296521089662644455e-01 6.298428133233322512e-01 6.288222782659161902e-01 6.296042470825233828e-01 6.296935342590090912e-01 6.291807986768874761e-01
6.310329624972366158e-01 6.395840234478923358e-01 6.637411237516550599e-01 6.393352834175867194e-01 6.269108123767982432e-01 6.482667792063105949e-01 6.316555952494465886e-01 6.313559654969319590e-01 6.269329197048791880e-01 6.303643833054680679e-01 6.297129555839905413e-01 6.287165365904590075e-01 6.299069983033543929e-01 6.294741350055671480e-01 6.291391800898687992e-01 6.297215871617592997e-01 6.294919367529039356e-01 6.293448010463301712e-01
6.637945629361996502e-01 6.732963101038600406e-01 6.532371205742774078e-01 6.308340182872929081e-01 6.496103969317086335e-01 6.291327226826408658e-01 6.287101776666479402e-01 6.268260013482280790e-01 6.294529941909078330e-01 6.285552699834999757e-01 6.282223238328517034e-01 6.312345811889300551e-01 6.290016354016471078e-01 6.289220760151258416e-01 6.304457650384636125e-01 6.292699545866879962e-01 6.292411614405436504e-01 6.299923781309368920e-01
6.623770627772261888e-01 6.460192681541272464e-01 6.265288173599777855e-01 6.223491668923569753e-01 6.341672441011645400e-01 6.220676840274559360e-01 6.267526195309865988e-01 6.279187758755228055e-01 6.304453127933958845e-01 6.282452257719634003e-01 6.289784960353966836e-01 6.296701139941498493e-01 6.289213527375940860e-01 6.293470726906111867e-01 6.295743558883687419e-01 6.292389444379726804e-01 6.294609618996296341e-01 6.295512939013049314e-01
6.420768540886014897e-01 6.328727171627256398e-01 6.357602705068862159e-01 6.331610874072282069e-01 6.246920238781968893e-01 6.362977298604319820e-01 6.299035489343343119e-01 6.332455488395853926e-01 6.274851603189899318e-01 6.303948338935052575e-01 6.314014829125660366e-01 6.282213720681352198e-01 6.300462132752120414e-01 6.303180208408151186e-01 6.289369780672240395e-01 6.298066445753782716e-01 6.299114599916001422e-01 6.292515662862866455e-01
