UMR-M UMR-ED UMR-EC AMRE-M AMRE-ED AMRE-EC AMRS-M AMRS-ED AMRS-EC AMRT-M AMRT-ED AMRT-EC
2.300000000000000000e+01 3.656802136797521890e-03 3.658217158955234024e-03 4.300000000000000000e+01 4.235906147835640650e-03 4.233786969448298347e-03 2.300000000000000000e+01 1.861094939101488530e-02 1.850837836875381462e-02 2.300000000000000000e+01 1.230725290042943877e-02 1.211457185168819846e-02
2.400000000000000000e+01 3.344744436279284156e-03 3.345982431484522106e-03 4.500000000000000000e+01 3.800901625558175765e-03 3.821773732976239263e-03 2.400000000000000000e+01 1.903181988001297759e-02 1.894182233126081097e-02 2.400000000000000000e+01 1.087112781748649989e-02 1.069111252622813486e-02
2.500000000000000000e+01 3.071029100439767907e-03 3.072118422148159729e-03 4.700000000000000000e+01 3.166615851329800287e-03 3.192708059564115190e-03 2.500000000000000000e+01 1.944019104395065464e-02 1.937467438739404191e-02 2.500000000000000000e+01 9.472491003994960163e-03 9.299593167570360461e-03
2.600000000000000000e+01 2.829617127923585770e-03 2.830580670505988047e-03 4.900000000000000000e+01 2.434594312702307618e-03 2.453378493550330362e-03 2.600000000000000000e+01 1.920079001388375756e-02 1.912665375175563731e-02 2.600000000000000000e+01 9.258587247299493797e-03 9.099305194036023600e-03
2.700000000000000000e+01 2.615614235894687944e-03 2.616470649386056294e-03 5.100000000000000000e+01 1.705577769603962160e-03 1.712547887787035103e-03 2.700000000000000000e+01 1.896170851859295403e-02 1.887859182373444189e-02 2.700000000000000000e+01 9.047998773653713814e-03 8.901399995726436143e-03
2.800000000000000000e+01 2.425019821892192805e-03 2.425784422609751287e-03 5.300000000000000000e+01 1.068143244187306573e-03 1.065983191727230177e-03 2.800000000000000000e+01 1.753481570812804452e-02 1.736536687029803516e-02 2.800000000000000000e+01 6.398135167901197393e-03 6.324151381563111046e-03
2.900000000000000000e+01 2.254537927184429528e-03 2.255223388245096439e-03 5.500000000000000000e+01 5.957947783717650134e-04 5.922368952224147526e-04 2.900000000000000000e+01 1.611360083769728183e-02 1.585337844804374924e-02 2.900000000000000000e+01 3.998410728136799104e-03 3.962989610339699882e-03
3.000000000000000000e+01 2.101433287778421526e-03 2.102050168294384343e-03 5.700000000000000000e+01 3.532663819324340592e-04 3.574184457587176156e-04 3.000000000000000000e+01 1.642298811697443309e-02 1.614352690301362747e-02 3.000000000000000000e+01 4.418192833098043282e-03 4.315439111422698232e-03
3.100000000000000000e+01 1.963420581351355519e-03 1.963977735991386756e-03 5.900000000000000000e+01 3.159947121435078979e-04 3.241586237715351386e-04 3.100000000000000000e+01 1.671539857508904173e-02 1.643288057213992265e-02 3.100000000000000000e+01 4.875276574966545297e-03 4.697249927889090779e-03
3.200000000000000000e+01 1.838578396177539560e-03 1.839083295040188498e-03 6.100000000000000000e+01 3.620292120474646424e-04 3.627535075884663228e-04 3.200000000000000000e+01 1.537606444134215732e-02 1.533258706704444287e-02 3.200000000000000000e+01 5.275803884434210680e-03 5.032134262884045868e-03
