x U u
3.486973947895791182e-01 4.711822005268665597e-02 4.711719660523408515e-02
3.507014028056111843e-01 4.749914747726628056e-02 4.749811777400812784e-02
3.527054108216432504e-01 4.787910846595491016e-02 4.787807253826840970e-02
3.547094188376753165e-01 4.825807047707091069e-02 4.825702835686958986e-02
3.567134268537073827e-01 4.863600135189199286e-02 4.863495307162062076e-02
3.587174348697394488e-01 4.901286932102981442e-02 4.901181491365920462e-02
3.607214428857715149e-01 4.938864301074285396e-02 4.938758250976468811e-02
3.627254509018035811e-01 4.976329144918659186e-02 4.976222488860809756e-02
3.647294589178356472e-01 5.013678407259992281e-02 5.013571148693847512e-02
3.667334669338677133e-01 5.050909073142690470e-02 5.050801215570453750e-02
3.687374749498997795e-01 5.088018169637282401e-02 5.087909716611072053e-02
3.707414829659318456e-01 5.125002766439363394e-02 5.124893721560645765e-02
3.727454909819639117e-01 5.161859976461782157e-02 5.161750343380801936e-02
3.747494989979959779e-01 5.198586956419971872e-02 5.198476738835171307e-02
3.767535070140280440e-01 5.235180907410341006e-02 5.235070109067779809e-02
3.787575150300601101e-01 5.271639075481626691e-02 5.271527700174379050e-02
3.807615230460921762e-01 5.307958752199118391e-02 5.307846803766677612e-02
3.827655310621242424e-01 5.344137275201669285e-02 5.344024757529340641e-02
3.847695390781562530e-01 5.380172028751399604e-02 5.380058945769676526e-02
3.867735470941883191e-01 5.416060444276010744e-02 5.415946799959960034e-02
3.887775551102203853e-01 5.451800000903617854e-02 5.451685799272243393e-02
3.907815631262524514e-01 5.487388225990021823e-02 5.487273471105633127e-02
3.927855711422845175e-01 5.522822695638339441e-02 5.522707391605903571e-02
3.947895791583165837e-01 5.558101035210895324e-02 5.557985186177386017e-02
3.967935871743486498e-01 5.593220919833311738e-02 5.593104529987054374e-02
3.987975951903807159e-01 5.628180074890707513e-02 5.628063148460711596e-02
4.008016032064127820e-01 5.662976276515925556e-02 5.662858817771218578e-02
4.028056112224448482e-01 5.697607352069716108e-02 5.697489365318662846e-02
4.048096192384769143e-01 5.732071180612800104e-02 5.731952670202420524e-02
4.068136272545089804e-01 5.766365693369731454e-02 5.766246663685013762e-02
4.088176352705410466e-01 5.800488874184494409e-02 5.800369329647696998e-02
4.108216432865731127e-01 5.834438759967752047e-02 5.834318705037702668e-02
4.128256513026051788e-01 5.868213441135688990e-02 5.868092880307080456e-02
4.148296593186372450e-01 5.901811062040361600e-02 5.901689999843035689e-02
4.168336673346693111e-01 5.935229821391506400e-02 5.935108262389737765e-02
4.188376753507013772e-01 5.968467972669724841e-02 5.968345921461497283e-02
4.208416833667334433e-01 6.001523824530984041e-02 6.001401285747261227e-02
4.228456913827655095e-01 6.034395741202373126e-02 6.034272719506363764e-02
4.248496993987975756e-01 6.067082142869047179e-02 6.066958642955467412e-02
4.268537074148296417e-01 6.099581506052298430e-02 6.099457532646624519e-02
4.288577154308617079e-01 6.131892363978696386e-02 6.131767921836418778e-02
4.308617234468937740e-01 6.164013306940239328e-02 6.163888400846105620e-02
4.328657314629258401e-01 6.195942982645454705e-02 6.195817617412716083e-02
4.348697394789579063e-01 6.227680096561401257e-02 6.227554277031042279e-02
4.368737474949899169e-01 6.259223412246507634e-02 6.259097143286485032e-02
4.388777555110219830e-01 6.290571751674209344e-02 6.290445038178675563e-02
4.408817635270540491e-01 6.321723995547312569e-02 6.321596842435843466e-02
4.428857715430861153e-01 6.352679083603059162e-02 6.352551495819873384e-02
4.448897795591181814e-01 6.383436014908824840e-02 6.383307997421996949e-02
4.468937875751502475e-01 6.413993848148409616e-02 6.413865405949084608e-02
4.488977955911823137e-01 6.444351701898884399e-02 6.444222840000485286e-02
4.509018036072143798e-01 6.474508754897931317e-02 6.474379478335368088e-02
4.529058116232464459e-01 6.504464246301652763e-02 6.504334560130517473e-02
4.549098196392785121e-01 6.534217475932800612e-02 6.534087385228573575e-02
4.569138276553105782e-01 6.563767804519385352e-02 6.563637314376621901e-02
4.589178356713426443e-01 6.593114653923629054e-02 6.592983769455160181e-02
4.609218436873747105e-01 6.622257507361228868e-02 6.622126233697345210e-02
4.629258517034067766e-01 6.651195909610885248e-02 6.651064251898528012e-02
4.649298597194388427e-01 6.679929467214086591e-02 6.679797430616024601e-02
4.669338677354709088e-01 6.708457848665075329e-02 6.708325438359094561e-02
4.689378757515029750e-01 6.736780784591019089e-02 6.736648005769094172e-02
4.709418837675350411e-01 6.764898067922310576e-02 6.764764925789790162e-02
4.729458917835671072e-01 6.792809554053005905e-02 6.792676053827775839e-02
4.749498997995991734e-01 6.820515160991338921e-02 6.820381307903009005e-02
4.769539078156312395e-01 6.848014869500335111e-02 6.847880668789396719e-02
4.789579158316633056e-01 6.875308723228450158e-02 6.875174180145456060e-02
4.809619238476953718e-01 6.902396828830258124e-02 6.902261948634982880e-02
4.829659318637274379e-01 6.929279356077135132e-02 6.929144144037745201e-02
4.849699398797595040e-01 6.955956537957948271e-02 6.955820999350163791e-02
4.869739478957915702e-01 6.982428670769713630e-02 6.982292810875975753e-02
4.889779559118235808e-01 7.008696114198223470e-02 7.008559938306850590e-02
4.909819639278556469e-01 7.034759291388617553e-02 7.034622804792972639e-02
4.929859719438877130e-01 7.060618689005890292e-02 7.060481897003541285e-02
4.949899799599197792e-01 7.086274857285344841e-02 7.086137765177220882e-02
4.969939879759518453e-01 7.111728410072942763e-02 7.111591023162500136e-02
4.989979959919839114e-01 7.136980024855595073e-02 7.136842348447966500e-02
5.010020040080159776e-01 7.162030442781339157e-02 7.161892482182503905e-02
5.030060120240480437e-01 7.186880468669440414e-02 7.186742229185373587e-02
5.050100200400801098e-01 7.211530971010385316e-02 7.211392457946225187e-02
5.070140280561121759e-01 7.235982881955796420e-02 7.235844100614997887e-02
5.090180360721442421e-01 7.260237197298237410e-02 7.260098152981729613e-02
5.110220440881763082e-01 7.284294976440935931e-02 7.284155674446286810e-02
5.130260521042083743e-01 7.308157342357421427e-02 7.308017787977995339e-02
5.150300601202404405e-01 7.331825481541086320e-02 7.331685680065203048e-02
5.170340681362725066e-01 7.355300643944666372e-02 7.355160600654765679e-02
5.190380761523045727e-01 7.378584142909674903e-02 7.378443863081476928e-02
5.210420841683366389e-01 7.401677355085772847e-02 7.401536843987444048e-02
5.230460921843687050e-01 7.424581720340110713e-02 7.424440983231425650e-02
5.250501002004007711e-01 7.447298741656643850e-02 7.447157783788152519e-02
5.270541082164328373e-01 7.469829985025444596e-02 7.469688811637642534e-02
5.290581162324649034e-01 7.492177079322016875e-02 7.492035695644512494e-02
5.310621242484969695e-01 7.514341716176652086e-02 7.514200127427334008e-02
5.330661322645290356e-01 7.536325649833824913e-02 7.536183861218041791e-02
5.350701402805611018e-01 7.558130697001672060e-02 7.557988713711397133e-02
5.370741482965931679e-01 7.579758736691552534e-02 7.579616563904573168e-02
5.390781563126252340e-01 7.601211710047751924e-02 7.601069352926836942e-02
5.410821643286573002e-01 7.622491620167314019e-02 7.622349083859401853e-02
5.430861723446893663e-01 7.643600531910063611e-02 7.643457821545446285e-02
5.450901803607214324e-01 7.664540571698832960e-02 7.664397692390340078e-02
5.470941883767534986e-01 7.685313927309926629e-02 7.685170884152117687e-02
5.490981963927855647e-01 7.705922847653864927e-02 7.705779645722216076e-02
5.511022044088176308e-01 7.726369642546422611e-02 7.726226286896528683e-02
5.531062124248496970e-01 7.746656682470026700e-02 7.746513178136793520e-02
5.551102204408817631e-01 7.766786398325521701e-02 7.766642750322376443e-02
5.571142284569138292e-01 7.786761281174367499e-02 7.786617494492453773e-02
5.591182364729458953e-01 7.806583881971290717e-02 7.806439961578684472e-02
5.611222444889779615e-01 7.826256811287445048e-02 7.826112762128362155e-02
5.631262525050100276e-01 7.845782739024116659e-02 7.845638566018134363e-02
5.651302605210419827e-01 7.865164394117027391e-02 7.865020102158296056e-02
5.671342685370740488e-01 7.884404564231271839e-02 7.884260158187750278e-02
5.691382765531061150e-01 7.903506095446946600e-02 7.903361580159619371e-02
5.711422845691381811e-01 7.922471891935524424e-02 7.922327272217641325e-02
5.731462925851702472e-01 7.941304915627005190e-02 7.941160196263313820e-02
5.751503006012023134e-01 7.960008185867918640e-02 7.959863371613910832e-02
5.771543086172343795e-01 7.978584779070223287e-02 7.978439874651375996e-02
5.791583166332664456e-01 7.997037828351155619e-02 7.996892838462182906e-02
5.811623246492985118e-01 8.015370523164090655e-02 8.015225452468202616e-02
5.831663326653305779e-01 8.033586108920465207e-02 8.033440962048624123e-02
5.851703406813626440e-01 8.051687886602840183e-02 8.051542668153030546e-02
5.871743486973947102e-01 8.069679212369144927e-02 8.069533926905640697e-02
5.891783567134267763e-01 8.087563497148168856e-02 8.087418149200814588e-02
5.911823647294588424e-01 8.105344206226386405e-02 8.105198800289870054e-02
5.931863727454909085e-01 8.123024858826138894e-02 8.122879399359293762e-02
5.951903807615229747e-01 8.140609027675294040e-02 8.140463519100374357e-02
5.971943887775550408e-01 8.158100338568394228e-02 8.157954785270390974e-02
5.991983967935871069e-01 8.175502469919415649e-02 8.175356876245346016e-02
6.012024048096191731e-01 8.192819152306164698e-02 8.192673522564394850e-02
6.032064128256512392e-01 8.210054168006418462e-02 8.209908506465975198e-02
6.052104208416833053e-01 8.227211350525863442e-02 8.227065661415758346e-02
6.072144288577153715e-01 8.244294584117908831e-02 8.244148871626466590e-02
6.092184368737474376e-01 8.261307803295461771e-02 8.261162071569655430e-02
6.112224448897795037e-01 8.278254992334724283e-02 8.278109245479520206e-02
6.132264529058115698e-01 8.295140184771110370e-02 8.294994426848818769e-02
6.152304609218436360e-01 8.311967462887344393e-02 8.311821697916969842e-02
6.172344689378757021e-01 8.328740957193841998e-02 8.328595189150449218e-02
6.192384769539077682e-01 8.345464845901426343e-02 8.345319078715517092e-02
6.212424849699398344e-01 8.362143354386511462e-02 8.361997591943383379e-02
